loan_title,default_prob,risk_category,loan_id,loan_amount,remaining_amount,lender_count
debt_consolidation,0.2049484699964523,High,0,171958,0.0,5
home_improvement,0.2165555357933044,High,1,196867,0.0,6
Nursing School Tuition,0.169386088848114,Medium,2,331932,0.0,5
personal,0.2184609323740005,High,3,153694,0.0,5
credit_card,0.2032997459173202,High,4,169879,0.0,6
debt_consolidation,0.2629065811634063,High,5,160268,0.0,5
debt_consolidation,0.2985996007919311,High,6,104886,0.0,6
debt_consolidation,0.181032657623291,Medium,7,337337,0.0,5
credit_card,0.2710155844688415,High,8,137498,0.0,5
Pay of debt,0.1541885286569595,Medium,9,375203,0.0,5
 ,0.2220500856637954,High,10,66023,0.0,6
home_improvement,0.1239593103528022,Medium,11,241090,0.0,5
debt_consolidation,0.2366938441991806,High,12,117221,0.0,6
debt_consolidation,0.1697304993867874,Medium,13,264820,0.0,6
debt consolidation,0.2330166846513748,High,14,50769,0.0,5
home_improvement,0.2667970061302185,High,15,109735,0.0,5
bailout,0.1918528079986572,Medium,16,394027,0.0,5
debt_consolidation,0.2074747681617736,High,17,114925,0.0,5
Summer School,0.1027513295412063,Medium,18,452709,0.0,6
other,0.2620135545730591,High,19,55311,0.0,6
business,0.1244297102093696,Medium,20,303355,0.0,6
debt_consolidation,0.2218759357929229,High,21,135305,0.0,5
debt_consolidation,0.2254136055707931,High,22,180608,0.0,6
 ,0.1530350744724273,Medium,23,356730,0.0,5
Other,0.1265446096658706,Medium,24,349503,0.0,6
debt_consolidation,0.1016556173563003,Medium,25,330523,0.0,6
credit_card,0.2483046203851699,High,26,52747,0.0,5
other,0.1783348470926284,Medium,27,323855,0.0,8
debt_consolidation,0.2407476752996444,High,28,115725,0.0,5
car,0.1192861944437027,Medium,29,329981,0.0,5
debt_consolidation,0.2979454398155212,High,30,134654,0.0,5
debt_consolidation,0.2509579956531524,High,31,169346,0.0,5
Better Future for me & my Family,0.1513334214687347,Medium,32,267435,0.0,6
Time to clear my name. Solid Job History,0.1962632238864898,Medium,33,231551,0.0,5
other,0.222063198685646,High,34,166216,0.0,6
other,0.2564683854579925,High,35,61394,0.0,5
JnA1202007,0.2903268039226532,High,36,119092,0.0,6
debt_consolidation,0.1822066903114318,Medium,37,203890,0.0,6
other,0.1900310218334198,Medium,38,241606,0.0,5
Debt Consolidation,0.0757521167397499,Low,39,989492,0.0,5
debt_consolidation,0.1938638091087341,Medium,40,456840,0.0,5
other,0.1591267585754394,Medium,41,341699,0.0,6
debt_consolidation,0.2067170441150665,High,42,58792,0.0,5
debt_consolidation,0.2820967733860016,High,43,118148,0.0,6
other,0.2249349802732467,High,44,174243,0.0,5
Better Rate,0.1143137440085411,Medium,45,451995,0.0,8
other,0.1815716177225113,Medium,46,354555,0.0,6
debt_consolidation,0.1945316791534423,Medium,47,248555,0.0,5
home_improvement,0.1754489839076995,Medium,48,456508,0.0,6
other,0.2054183781147003,High,49,67159,0.0,5
car,0.1774132400751114,Medium,50,306530,0.0,5
debt_consolidation,0.2698640823364258,High,51,130077,0.0,6
small_business,0.2795481383800506,High,52,85920,0.0,5
moving,0.1724445521831512,Medium,53,400551,0.0,6
debt_consolidation,0.2138053625822067,High,54,69457,0.0,5
home_improvement,0.2070448547601699,High,55,128953,0.0,5
major_purchase,0.1719849407672882,Medium,56,371829,0.0,6
car,0.1286142319440841,Medium,57,471836,0.0,5
car,0.1459178924560547,Medium,58,402283,0.0,7
other,0.1645442843437194,Medium,59,396769,0.0,7
for new house,0.0544367246329784,Low,60,537065,0.0,5
car,0.1240943297743797,Medium,61,423165,0.0,6
wbnd44,0.245822325348854,High,62,149299,0.0,5
debt_consolidation,0.2789818942546844,High,63,61534,0.0,5
 ,0.2082193940877914,High,64,90397,0.0,5
credit_card,0.2121280878782272,High,65,141387,0.0,6
debt_consolidation,0.1889599412679672,Medium,66,463160,0.0,6
other,0.2074553519487381,High,67,105591,0.0,6
small_business,0.2627494633197784,High,68,73247,0.0,5
small_business,0.2456376701593399,High,69,74300,0.0,5
credit_card,0.2016623318195343,High,70,132798,0.0,5
debt_consolidation,0.2963738441467285,High,71,59268,0.0,6
debt_consolidation,0.2348855137825012,High,72,136807,0.0,6
debt_consolidation,0.1328522562980651,Medium,73,474329,0.0,6
home_improvement,0.1808502674102783,Medium,74,394776,0.0,6
credit_card,0.1266362071037292,Medium,75,417851,0.0,5
debt_consolidation,0.2090592086315155,High,76,189643,0.0,6
major_purchase,0.2494123727083206,High,77,88044,0.0,5
other,0.1985141634941101,Medium,78,248984,0.0,6
major_purchase,0.1817735135555267,Medium,79,464712,0.0,6
educational,0.1943579614162445,Medium,80,320151,0.0,5
car,0.1527963280677795,Medium,81,333767,0.0,6
"Baby on the way, desperatly need a car.",0.2122731059789657,High,82,174375,0.0,5
truck loan,0.1528321355581283,Medium,83,379262,0.0,6
debt_consolidation,0.1160646900534629,Medium,84,336330,0.0,6
other,0.1509027481079101,Medium,85,364231,0.0,5
house,0.1569504141807556,Medium,86,213986,0.0,6
debt_consolidation,0.1241518706083297,Medium,87,261858,0.0,5
wedding,0.0747983530163765,Low,88,629312,0.0,5
 ,0.1746715009212494,Medium,89,212666,0.0,6
credit_card,0.2160945236682891,High,90,88660,0.0,5
debt_consolidation,0.2668674290180206,High,91,184633,0.0,5
credit_card,0.2275400310754776,High,92,76854,0.0,5
Loan,0.1775386929512024,Medium,93,304488,0.0,6
car,0.2570497989654541,High,94,72662,0.0,5
other,0.152236059308052,Medium,95,470536,0.0,6
debt_consolidation,0.1604475826025009,Medium,96,230535,0.0,5
car,0.1692394763231277,Medium,97,497366,0.0,5
debt_consolidation,0.1440693885087967,Medium,98,277373,0.0,6
debt_consolidation,0.2483589053153991,High,99,173684,0.0,5
wedding,0.2177994847297668,High,100,60965,0.0,5
debt_consolidation,0.2109131813049316,High,101,74538,0.0,6
debt_consolidation,0.1698069125413894,Medium,102,401664,0.0,6
debt_consolidation,0.1973279416561126,Medium,103,339182,0.0,6
debt_consolidation,0.1408277750015258,Medium,104,358338,0.0,6
HOME REMODEL,0.1034716814756393,Medium,105,384064,0.0,6
ACCOLADE INVESTMENTS INC. - Startup Loan,0.2097880393266677,High,106,148806,0.0,6
major_purchase,0.1375777125358581,Medium,107,290982,0.0,6
College Student loan,0.1726265847682953,Medium,108,321626,0.0,5
debt_consolidation,0.2150552868843078,High,109,169176,0.0,5
credit_card,0.1743848770856857,Medium,110,418126,0.0,6
debt_consolidation,0.207224890589714,High,111,172409,0.0,5
debt_consolidation,0.201137900352478,High,112,73419,0.0,5
debt_consolidation,0.2899569571018219,High,113,100015,0.0,5
credit_card,0.2536633312702179,High,114,172096,0.0,6
debt_consolidation,0.2073680907487869,High,115,157059,0.0,5
car,0.2194753289222717,High,116,160687,0.0,6
debt_consolidation,0.1718098074197769,Medium,117,411428,0.0,6
other,0.1028883084654808,Medium,118,305878,0.0,5
debt_consolidation,0.2240207195281982,High,119,112623,0.0,5
debt_consolidation,0.2051454484462738,High,120,125450,0.0,5
Debit Consolidation,0.2817442715167999,High,121,143426,0.0,6
home_improvement,0.1862327307462692,Medium,122,243585,0.0,5
debt_consolidation,0.1822551935911178,Medium,123,264044,0.0,6
car,0.1842565089464187,Medium,124,309556,0.0,7
debt_consolidation,0.1862264424562454,Medium,125,202693,0.0,5
Personal Loan,0.2399011254310608,High,126,145259,0.0,6
Loan For College,0.2246813774108886,High,127,75939,0.0,5
other,0.2752498090267181,High,128,68047,0.0,5
car,0.2134124785661697,High,129,76105,0.0,5
debt_consolidation,0.1531446576118469,Medium,130,275766,0.0,5
home_improvement,0.1767784655094146,Medium,131,244262,0.0,6
Payoff debts,0.2913937866687774,High,132,175117,0.0,6
car,0.2544794380664825,High,133,73776,0.0,6
home_improvement,0.2137904912233352,High,134,178376,0.0,6
other,0.2254402935504913,High,135,187848,0.0,5
moving,0.2593028247356415,High,136,142787,0.0,6
"Need out of debt, help us consolidate",0.2971802949905395,High,137,177948,0.0,5
Debt Consolidation Loan,0.2271271347999572,High,138,105016,0.0,6
